biomarker,pc,rho,p,n
telomere_length,PC1,0.25012272469350727,0.10573515885598289,43
telomere_length,PC2,-0.02597893034256235,0.8686581471471229,43
telomere_length,PC3,0.5756900755853279,5.368887060016243e-05,43
telomere_length,PC4,-0.22391723391191093,0.14889154603097743,43
telomere_length,PC5,-0.26885172098698246,0.08128368870050723,43
mtdna_cn,PC1,-0.2298399275143461,0.13815929461204718,43
mtdna_cn,PC2,0.20869827846572034,0.1792580497982145,43
mtdna_cn,PC3,0.11839323467230443,0.4495624278492865,43
mtdna_cn,PC4,0.1931440652370885,0.21463020586801076,43
mtdna_cn,PC5,0.17532467532467533,0.2607838705390762,43
clock_horvath1,PC1,0.4587737843551797,0.0019734329998339684,43
clock_horvath1,PC2,0.06236786469344609,0.6911393370893962,43
clock_horvath1,PC3,-0.15237088492902445,0.32934628202022165,43
clock_horvath1,PC4,-0.38175777710661435,0.011534719794868965,43
clock_horvath1,PC5,-0.266384778012685,0.08422478161639704,43
clock_phenoage,PC1,-0.21156750226517668,0.17321854681220827,43
clock_phenoage,PC2,-0.11084264572636665,0.47918691320640705,43
clock_phenoage,PC3,-0.6414980368468741,3.562556872992972e-06,43
clock_phenoage,PC4,0.08849290244639081,0.5725524345388862,43
clock_phenoage,PC5,0.035185744488070075,0.8227582888787608,43
clock_grimage,PC1,0.5042283298097252,0.0005657091530937412,43
clock_grimage,PC2,0.23104802174569616,0.13604250942282772,43
clock_grimage,PC3,0.7381455753548777,1.616864048448469e-08,43
clock_grimage,PC4,-0.4871639987919058,0.0009227536246105777,43
clock_grimage,PC5,-0.3468740561763818,0.02267626708018779,43
clock_hannum,PC1,0.7105372451924696,9.413735971932147e-08,43
clock_hannum,PC2,-0.24208102105069687,0.1178130365534299,43
clock_hannum,PC3,-0.21346320851850284,0.16930942407418503,43
clock_hannum,PC4,-0.6103371469596952,1.3886408872055061e-05,43
clock_hannum,PC5,-0.3200060409272781,0.03644332705966877,43
