biomarker,pc,rho_parcial,p_parcial,n
telomere_length,PC1,0.5715795832074902,6.240358924962748e-05,43
telomere_length,PC2,-0.26004228329809725,0.09216727272112453,43
telomere_length,PC3,0.2582301419510722,0.09453971914112057,43
telomere_length,PC4,-0.4628511023859861,0.0017763216531135055,43
telomere_length,PC5,-0.3438538205980066,0.023964898020792595,43
mtdna_cn,PC1,-0.19525823014195107,0.20955732153771134,43
mtdna_cn,PC2,0.17366354575656903,0.2653994138143485,43
mtdna_cn,PC3,0.08834189066747206,0.5732104396083393,43
mtdna_cn,PC4,0.22787677438840226,0.14165104345308768,43
mtdna_cn,PC5,0.16294170945333736,0.29648887222775494,43
clock_horvath1,PC1,0.45122319540924194,0.0023899943628020942,43
clock_horvath1,PC2,0.5021141649048625,0.0006018974186990312,43
clock_horvath1,PC3,0.5320144971307762,0.00024094301803754157,43
clock_horvath1,PC4,-0.30821504077318035,0.04434727660903617,43
clock_horvath1,PC5,-0.2772576260948354,0.07186095324089152,43
clock_phenoage,PC1,-0.41045001510117785,0.006260647698889832,43
clock_phenoage,PC2,0.02884324977348233,0.8543252363303696,43
clock_phenoage,PC3,-0.3417396556931441,0.024902852526348093,43
clock_phenoage,PC4,0.1424041075203866,0.3623248189793496,43
clock_phenoage,PC5,0.15040773180308065,0.33568916073398475,43
clock_grimage,PC1,0.5961945031712473,2.4577611362381298e-05,43
clock_grimage,PC2,0.5490788281485957,0.00013736409577067368,43
clock_grimage,PC3,0.7035638779824827,1.4231592108297277e-07,43
clock_grimage,PC4,-0.495016611295681,0.0007390422412764105,43
clock_grimage,PC5,-0.40289942615524005,0.007390333111470127,43
clock_hannum,PC1,0.7333131984294774,2.235205631176824e-08,43
clock_hannum,PC2,0.22968891573542738,0.13842560137919543,43
clock_hannum,PC3,0.44472968891573544,0.0028083007720032123,43
clock_hannum,PC4,-0.6502567200241619,2.363793778478175e-06,43
clock_hannum,PC5,-0.345514950166113,0.02324878996154462,43
